title,author,rating,ratingnum,categories,INFOCARD,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,source,link,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31
Mincemeat cookies,Esther Clark,4.2,5,"Freezable
Vegetarian","MAKES 12
Easy
Prep: 15 mins
Cook: 10 mins
plus cooling",9,125g softened butter,100g dark brown soft sugar,50g golden caster sugar,½ heaped tsp fine sea salt,1 medium egg,1 tsp vanilla extract,5 tbsp mincemeat (check the label if you're vegetarian),220g plain flour,½ tsp bicarbonate of soda,BBC Good Food,https://www.bbcgoodfood.com/recipes/mincemeat-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan cookies & cream cake,Cassie Best,4.9,5,"Freezable (un-iced)
Dairy-free
Egg-free
Vegan
Vegetarian","Serves 16
Easy
Prep: 30 mins
Cook: 35 mins",14,150ml sunflower oil plus extra for the tin,200ml dairy-free milk (we used oat milk),1 ½ tsp white wine vinegar,1 tsp vanilla extract,120g dairy-free yogurt (we used coconut yogurt),225g light brown soft sugar,200g self-raising flour,70g cocoa powder,1 tsp baking powder,BBC Good Food,https://www.bbcgoodfood.com/recipes/vegan-cookies-cream-cake,½ tsp bicarbonate of soda,150g crème-filled chocolate sandwich cookies,150g vegan spread,1 tsp vanilla extract,275g icing sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Halloween cookies,Katy Gilhooly,4.2,5,"Freezable (unbaked dough only)
Vegetarian","Makes 20 (10 bats and 10 spiders)
Easy
Prep: 25 mins
Cook: 20 mins",13,150g butter softened,50g  caster sugar,100g  light brown soft sugar,1 tsp  vanilla extract,1 large  egg,250g plain flour,¼ tsp  baking powder,100g milk or dark  chocolate chips,60g  dark chocolate melted,BBC Good Food,https://www.bbcgoodfood.com/recipes/easy-halloween-cookies,60g  royal icing sugar mixed with 2 tsp water,20  Maltesers,5 cream-filled chocolate sandwich cookies,10 caramel-filled chocolates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triple chocolate cookies,Sarah Cook,4.3,5,Freezable (Both dough and baked cookies can be frozen),"Makes 24
Easy
Prep: 15 mins
Cook: 10 mins",9,100g soft brown sugar,100g golden caster sugar,100g butter softened,1 egg,1 tsp vanilla extract,225g plain flour,140g milk chocolate melted,85g white chocolate chips or chopped into chunks,85g plain chocolate chips or chopped into chunks,BBC Good Food,https://www.bbcgoodfood.com/recipes/triple-chocolate-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red velvet cookies,Anna Glover,3.6,5,Freezable (dough only),"Makes 16-18
Easy
Prep: 20 mins
Cook: 15 mins
plus chilling",12,175g soft salted butter,200g light brown soft sugar,100g caster sugar,1 large egg,2 tsp vanilla extract,"½-1 tbsp red food colouring gel, depending on strength",225g plain flour,25g cocoa powder,½ tsp bicarbonate of soda,BBC Good Food,https://www.bbcgoodfood.com/recipes/red-velvet-cookies,150g white chocolate chips or chunks,2 tbsp soft cheese,6 tbsp icing sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eggless cookies,GF member: beths.x,4,5,"Egg-free
Vegetarian","Makes 12-16
Easy
Prep: 5 mins
Cook: 12 mins
plus cooling",7,125g butter softened ,125g caster sugar,1 tsp vanilla essence or extract ,200g self-raising flour plus extra for dusting,1 tsp baking powder,50g milk or white  chocolate chips,2 tbsp cocoa powder (optional) ,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/egg-free-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honey, sesame and tahini cookies",Liberty Mendez,4.9,5,"Freezable
Vegetarian","Makes 18
Easy
Prep: 20 mins
Cook: 10 mins
plus at least 3 hrs chilling",10,150g honey,150g salted  butter cubed,75g dark brown soft sugar,75g caster sugar,100g tahini,1 egg plus 1 yolk,250g plain flour,¼ tsp  bicarbonate of soda,1 tsp sea salt flakes,BBC Good Food,https://www.bbcgoodfood.com/recipes/caramelised-honey-and-tahini-cookies,1 tbsp mixed black & white sesame seeds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double ginger cookies,Sara Buenfeld,4.6,5,Freezable (uncooked dough or baked without chocolate),"Makes 24
Easy
Prep: 20 mins
Cook: 12 mins
plus chilling",9,350g plain flour,1 tbsp ground ginger,1 tsp bicarbonate of soda,175g light muscovado sugar,100g butter chopped,"8 pieces of stem ginger chopped (not too finely), plus thin slices, to decorate (optional)",1 large egg,4 tbsp golden syrup,200g bar dark chocolate chopped,BBC Good Food,https://www.bbcgoodfood.com/recipes/double-ginger-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mince pie cookies,Liberty Mendez,4.6,5,"Freezable (dough only)
Nut-free
Vegetarian","Serves 12
Easy
Prep: 15 mins
Cook: 12 mins",9,120g salted butter softened,75g golden caster sugar,1 medium egg,1tsp vanilla extract,"4 tbsp (about 100g) mincemeat (vegetarian, if needed)",180g plain flour,½ tsp bicarbonate of soda,1 tsp cinnamon,150g dark chocolate broken into chunks,BBC Good Food,https://www.bbcgoodfood.com/recipes/mince-pie-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Creme Egg® cookies,Lucy Cottle,5,5,"Freezable (unbaked dough balls only)
Vegetarian","Serves 8
Easy
Prep: 30 mins
Cook: 12 mins
plus 2 hrs freezing, at least 2 hrs chilling and cooling",14,8 Cadbury Creme Eggs®,120g unsalted butter softened,60g light brown soft sugar,60g dark brown soft sugar,100g granulated sugar,1 tsp  vanilla extract,1 large  orange zested (optional; see tip below),2  eggs,270g plain flour,BBC Good Food,https://www.bbcgoodfood.com/recipes/creme-egg-cookies,30g cocoa powder,2 tsp  baking powder,1 tsp  bicarbonate of soda,1 tsp  sea salt flakes,100g dark chocolate finely chopped ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon thumbprint cookies,Cassie Best,5,5,Vegetarian,"Serves 50
Easy
Prep: 30 mins
Cook: 15 mins
plus 1 hr chilling",7,250g plain flour,85g icing sugar plus about 2 tbsp for dusting,1 tsp vanilla extract,1 lemon zested,150g butter cut into cubes,2 egg yolks (freeze the whites for another recipe),200g lemon curd,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/lemon-thumbprint-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar cookies,Liberty Mendez,3,5,"Freezable (dough only)
Nut-free
Vegetarian","Makes 20-22
Easy
Prep: 20 mins
Cook: 10 mins
plus chilling and cooling",6,100g caster sugar,100g unsalted butter softened,2 eggs,1tsp vanilla extract,30g cornflour,300g plain flour,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/sugar-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan cranberry & orange cookies,Benjamina Ebuehi,4.8,5,"Dairy-free
Egg-free
Vegan
Vegetarian","Serves 12
Easy
Prep: 10 mins
Cook: 15 mins",11,85g flavourless oil (such as sunflower or vegetable),75g caster sugar,75g light muscovado sugar,1 tsp vanilla extract,1 orange zested,175g plain flour,50g jumbo oats,½ tsp baking powder,½ tsp bicarbonate of soda,BBC Good Food,https://www.bbcgoodfood.com/recipes/vegan-cranberry-orange-cookies,1 tsp ground cinnamon,75g dried cranberries roughly chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut butter cookie cups,Cassie Best,4.3,5,Vegetarian,"Makes 12
Easy
Prep: 25 mins
Cook: 18 mins
plus 1 hr setting",9,175g butter softened,200g light brown soft sugar,100g golden caster sugar,1 tbsp vanilla extract,1 large egg,250g plain flour,½ tsp bicarbonate of soda,150g dark chocolate (at least 70% cocoa solids),240g peanut or almond butter,BBC Good Food,https://www.bbcgoodfood.com/recipes/peanut-butter-cookie-cups,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snowball cookies,Cate Dixon,5,5,Vegetarian,"Serves 10
Easy
Prep: 10 mins
Cook: 15 mins",6,100g pecans,70g plain flour,50g softened butter,25g caster sugar,1 orange zested,2 tbsp icing sugar plus extra for dusting,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/snowball-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate salted caramel cookie cake,NA,3.5,5,Vegetarian,"Serves 8 - 10
More effort
Prep: 40 mins
Cook: 35 mins
plus chilling",18,150ml vegetable oil plus extra for the tins,200g self-raising flour,50g cocoa powder,1 tsp baking powder,250g brown sugar,150ml Greek yogurt,50ml milk,100ml strong coffee cold,2 large eggs,BBC Good Food,https://www.bbcgoodfood.com/recipes/chocolate-salted-caramel-cookie-cake,100g white chocolate chips,150g salted butter softened,300g icing sugar,1 tbsp cocoa powder,50g dark chocolate,200g cookies,4 tbsp salted caramel sauce,½ tbsp milk,dark chocolate (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanilla spiced cookies,Juliet Sear,5,5,NA,"Makes 30 cookies
More effort
Prep: 20 mins
Cook: 12 mins
plus cooling and 2 hrs setting",9,200g unsalted butter,200g golden caster sugar,1 tsp vanilla extract,1 egg,375g plain flour plus extra for dusting,1 tsp ground ginger,1 tsp ground cinnamon,75g royal icing sugar,metallic sprinkles to decorate,BBC Good Food,https://www.bbcgoodfood.com/recipes/vanilla-spiced-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terrified Halloween cookies,Silvana Franco,4.3,5,"Easily doubled
Easily halved
Vegetarian","Serves 14 - 18
Easy
Prep: 15 mins
Cook: 10 mins - 12 mins
plus 30 mins chilling",6,200g self-raising flour,100g butter,100g caster sugar,4 tbsp seedless raspberry jam,white writing icing (or mix together a little icing sugar and water to make a paste) ,edible eyes to decorate,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/premium/terrified-halloween-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butterscotch cookies,Good Food team,4.5,5,Freezable (Freeze unbaked),"Makes 10
Easy
Prep: 10 mins
Cook: 20 mins",6,"100g unsalted butter softened, plus extra for the baking sheet",100g light soft brown sugar,2 tbsp golden syrup,175g self-raising flour,25g puffed rice cereal,"dark chocolate chips, for decoration",NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/butterscotch-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana cookies,Monaz Dumasia,3.5,5,"Freezable
Vegetarian","Makes 24 cookies
Easy
Prep: 10 mins
Cook: 15 mins",8,75g  salted butter,100g light brown muscovado sugar,1 medium egg,1 medium ripe  banana mashed ,250g  plain flour,½ tsp  bicarbonate of soda,1½ tsp  cinnamon,50g  raisins chocolate chips or pecan nuts (optional),NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/banana-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookie dough pie,Silvana Franco,5,5,Vegetarian,"Serves 16
Easy
Prep: 30 mins
Cook: 50 mins - 1 hr
plus 2-3 hrs chilling and cooling",11,200g butter at room temperature	,225g  light brown muscovado sugar,2 eggs,1 tsp  vanilla extract,325g  plain flour plus extra for dusting 	,1 tsp  bicarbonate of soda,150g  milk chocolate chips,splash of milk (optional),350g chocolate hazelnut spread,BBC Good Food,https://www.bbcgoodfood.com/recipes/cookie-dough-pie,100g  white chocolate chips,100g multipack (8)  Kinder Mini chocolate bars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double-dipped shortbread cookies,Lulu Grimes,4.7,5,"Freezable (unbaked)
Vegetarian","Makes 15
Easy
Prep: 20 mins
Cook: 30 mins",7,200g salted butter softened,100g icing sugar,1 tsp vanilla extract,250g plain flour,1 tbsp milk plus extra if needed,50g white chocolate chopped,50g milk chocolate chopped,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/double-dipped-shortbread-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oaty hazelnut cookies,Good Food team,4,5,"Freezable
Vegetarian","makes 9
Easy
Prep: 15 mins
Cook: 30 mins",9,50g butter plus a little for greasing,2 tbsp maple syrup,1 dessert apple unpeeled and coarsely grated (you need 85g),1 tsp cinnamon,50g raisins,50g porridge oats,50g spelt flour,40g unblanched hazelnuts cut into chunky slices,1 egg,BBC Good Food,https://www.bbcgoodfood.com/recipes/oaty-hazelnut-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marzipan cookies,Einfach Backen Team,4.4,5,NA,"Makes 25
Easy
Prep: 10 mins
Cook: 15 mins",8,200g marzipan,1 egg separated,80g icing sugar,110g plain flour,100g ground almonds,1 tsp cinnamon,2 tbsp amaretto,3 tbsp chopped almonds (optional),NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/marzipan-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linzer cookies,Cate Dixon,5,5,NA,"Serves 10
Easy
Prep: 25 mins
Cook: 12 mins
plus chilling and cooling",9,160g plain flour plus extra for dusting,1½ tsp  ground cinnamon,pinch of  allspice,100g softened butter cubed,60g ground almonds,100g golden caster sugar,1 egg lightly beaten,½ tbsp icing sugar,4 tbsp  raspberry jam,BBC Good Food,https://www.bbcgoodfood.com/recipes/linzer-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M&M'S® cookie bars,Good Food team,4.8,5,NA,"Serves 18
Easy
Prep: 20 mins
Cook: 20 mins
plus chilling",11,125g butter plus 25g for the topping,75g soft light brown sugar,75g golden caster sugar,1 egg,1 tsp vanilla extract,200g plain flour,½ tsp baking powder,75g M&M'S® Minis,100g dark chocolate chopped,BBC Good Food,https://www.bbcgoodfood.com/premium/mms-cookie-bars,50ml double cream,75g Chocolate M&M'S®,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookies & cream fridge cake,Cassie Best,4.2,5,Vegetarian,"Serves 12-14
Easy
Prep: 20 mins
plus at least 24 hrs chilling",7,"flavourless oil (such as vegetable), for the tin",600ml double cream,200ml mascarpone or soft cheese,1 tsp vanilla extract,3 tbsp icing sugar,4 x 154g packets chocolate cream-filled sandwich cookies plus extra to serve,200g dark chocolate broken into small pieces,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/cookies-cream-fridge-cake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medal cookies,Cassie Best,4,5,NA,"Makes 15 cookies
Easy
Prep: 35 mins
Cook: 15 mins",11,140g butter,100g light soft brown sugar,3 tbsp golden syrup,½ tsp vanilla extract,350g plain flour plus extra for dusting,1 tsp bicarbonate of soda,1 large egg,1kg pack  ready-to-roll icing,icing sugar,BBC Good Food,https://www.bbcgoodfood.com/recipes/medal-cookies,"food colouring paste, edible glitter and icing pens (optional)",15 long colourful ribbons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thumbprint cookies,Einfach Backen Team,4.5,5,NA,"Makes 55-60 biscuits
Easy
Prep: 45 mins
Cook: 15 mins
plus cooling",7,250g plain flour,70g icing sugar plus about 2 tbsp for dusting,8g vanilla sugar or 8g caster sugar plus 1 tsp vanilla extract,1 tsp lemon zest,150g butter cut into cubes,2 egg yolks,100g redcurrant jelly (or raspberry jam),NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/thumbprint-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookie dough truffles,Esther Clark,4.3,5,"Nut-free
Vegetarian","Makes 30
Easy
Prep: 25 mins
Cook: 10 mins
plus 2½ hrs chilling",6,100g unsalted butter,180g light brown soft sugar,1tsp vanilla extract,120g plain flour,"200g dark or milk chocolate 50g finely chopped, the rest broken up",60g white chocolate broken up,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/cookie-dough-truffles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norwegian butter cookies,NA,4.5,5,Vegetarian,"Makes about 40
Easy
Prep: 17 mins
Cook: 10 mins
plus 1 hr chilling and cooling",7,300g plain flour sifted,1 tbsp baking powder,200g cold butter cut into cubes,125g icing sugar plus 2 tbsp,2 tsp vanilla-infused sugar or golden caster sugar,1 egg plus 1 lightly beaten egg white for brushing,"pearl sugar or flaked or chopped almonds, for sprinkling",NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/norwegian-butter-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forgotten cookies,Good Food team,4.5,5,Vegetarian,"Makes 32
Easy
Prep: 20 mins - 30 mins
Plus at least 3 hours in the oven",5,2  large  egg whites,120g golden caster sugar,120g pecan roughly chopped,"150g  dark  chocolate (at least 70% cocoa solids), roughly chopped",1 tsp vanilla extract,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/forgotten-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air fryer ice cream cookie sandwich,Samuel Goldsmith,5,5,Vegetarian,"Serves 4
Easy
Prep: 20 mins
Cook: 15 mins",9,75g butter softened,40g light brown soft sugar,40g caster sugar,1 tsp vanilla extract,1 egg,150g plain flour,¼ tsp bicarbonate of soda,100g plain chocolate chips,4 scoops vanilla ice cream,BBC Good Food,https://www.bbcgoodfood.com/recipes/air-fryer-ice-cream-cookie-sandwich,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ginger cookie sandwiches with lemon mascarpone,Edd Kimber,4.5,5,Gluten-free,"Makes 12-15
Easy
Prep: 30 mins
Cook: 14 mins
plus at least 4 hrs chilling",16,100g unsalted butter melted,50g golden caster sugar,100g light brown soft sugar,25g black treacle,1 large egg,½ tsp vanilla extract,¼ tsp bicarbonate of soda,175g gluten-free flour blend (I used Doves Farm),1 tbsp ground ginger,BBC Good Food,https://www.bbcgoodfood.com/recipes/ginger-cookie-sandwiches-lemon-mascarpone,½ tsp ground black pepper,¼ tsp ground nutmeg,¼ tsp ground cloves,"¼ tsp ground cardamom (the seeds from 3 pods, crushed – see tip)",75g demerara sugar to coat,175g mascarpone,85g lemon curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosty chocolate cookies,Silvana Franco,4.5,5,"Freezable
Vegetarian","Serves 24
Easy
Prep: 15 mins
Cook: 8 mins - 10 mins
plus chilling",7,2 eggs,175g caster sugar,75g salted butter melted,150g self-raising flour,50g cocoa powder,65g milk chocolate chips,50g icing sugar,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/frosty-chocolate-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
