title,author,rating,ratingnum,card1,card2,card3,card4,yield,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,source,link,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34,ingredient35,ingredient36,ingredient37,ingredient38,ingredient39,ingredient40,ingredient41,ingredient42
Homemade Ice Cream Cone,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 13 minutes mins,NA,Total Time 23 minutes mins,NA,10," 1/2 cup (57g) butter softened
"," 1/3 cup (67g) granulated sugar
"," 1/3 cup (73g) packed brown sugar
"," 1 tsp. McCormick® vanilla extract
"," 1 egg
"," 1 cup (128g) all-purpose flour
"," 1/2 tsp. salt
"," 1/2 tsp. baking soda
"," 1 cup (175g) mini semisweet chocolate chips
",i am baker,https://iambaker.net/homemade-chocolate-chip-cookie-ice-cream-cone/, sugar cone to mold cookie cone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Graham Cracker Cookies,Amanda Rettke,NA,NA,Prep Time 15 minutes mins,Cook Time 12 minutes mins,NA,Total Time 27 minutes mins,NA,3," 3 packages graham crackers 27 cookie sheets, roughly 4 cups
"," 1 14oz can sweetened condensed milk
", 1/2 cup mini semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,i am baker,https://iambaker.net/chocolate-chip-graham-cracker-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rainbow Sugar Cookies,Amanda Rettke,NA,NA,Prep Time 15 minutes mins,Cook Time 10 minutes mins,NA,Total Time 25 minutes mins,NA,9," 1 c 2 sticks or 226g unsalted butter, room temperature
"," 1 1/2 c 188g confectioner’s sugar
"," 1 egg
"," 1 tsp. vanilla extract
"," 1 tsp. almond extract
"," 2 1/2 c 313g all-purpose flour
"," 2 tsp. baking powder
"," 1 tsp. salt
"," Red Orange, Yellow, Green, Blue, and Purple Food Coloring",i am baker,https://iambaker.net/rainbow-cookie-cake/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rich Chocolate Cookies,Amanda Rettke,5,NA,Prep Time 15 minutes mins,Cook Time 10 minutes mins,NA,Total Time 25 minutes mins,NA,17,"CHOCOLATE COOKIES
"," 1 ¼ cups (2 ½ sticks or 278 g) unsalted butter, room temperature
"," 2 cups (400 g) granulated sugar
"," 2 large eggs, room temperature
"," 1 tablespoon vanilla extract
"," ¾ cup (88.5 g) unsweetened cocoa powder
"," 2 cups (250 g) all-purpose flour
"," 1 teaspoon baking soda
", ½ teaspoon salt,i am baker,https://iambaker.net/chocolate-cookie-dough-sandwich-cookies/," COOKIE DOUGH FROSTING
"," 1 ½ cup (300 g) light brown sugar, packed
"," 1 cup (2 sticks or 226 g) butter, room temperature
"," 1 ½ cups (187.5 g) all-purpose flour
"," 2 teaspoons vanilla extract
"," 1 teaspoon salt
"," 1 cup (245 g) whole milk
", 1 cup semi-sweet miniature chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spicy Chocolate Chip Skillet Cookie,Amanda Rettke,NA,NA,Prep Time 15 minutes mins,Cook Time 33 minutes mins,NA,Total Time 48 minutes mins,NA,7," 1 3/4 cups 199g butter, room temperature
"," 1 1/2 cups 300g raw sugar
"," 1/2 teaspoon 3g salt
"," 1/2 teaspoon 2g cayenne pepper
"," 3 1/2 cups 437g all-purpose flour
"," 2 large eggs room temperature
", 1 1/2 cups about 9 ounces chopped chocolate pieces,NA,NA,i am baker,https://iambaker.net/spicy-chocolate-chip-skillet-cookie/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Simple Sugar Cookies with Buttercream,Amanda Rettke,NA,NA,Prep Time 15 minutes mins,Cook Time 10 minutes mins,NA,Total Time 25 minutes mins,NA,18,"Sugar Cookie
"," 1 cup (125g) confectioners' sugar
"," 1 cup (2 sticks, 227g) butter, room temperature
"," 1 large egg, room temperature
"," 2 teaspoons vanilla extract
"," 1 cup (125g) all-purpose flour
"," ¾ cup (94g) cake flour
"," 2 teaspoons cornstarch
"," ¼ teaspoon baking powder
",i am baker,https://iambaker.net/simple-sugar-cookies-with-buttercream/," ¼ teaspoon baking soda
", 1 pinch table salt," Buttercream
"," ¼ cup butter, room temperature
"," ½ teaspoon vanilla
"," 2 cups (250g) confectioners' sugar
"," 2 tablespoons (20-30g) milk
"," 1 drop green food coloring
", 2 tablespoons gold sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Caramel Peanut Butter Mousse,Amanda Rettke,NA,NA,Prep Time 5 minutes mins,NA,NA,Total Time 7 minutes mins,NA,5," 1/3 c whipped cream like Cool Whip®
"," 4 oz cream cheese softened
"," 2/3 c Skippy® Salted Caramel Peanut Butter
"," 2 tbsp. milk
", 1/2 c sifted confectioners sugar,NA,NA,NA,NA,i am baker,https://iambaker.net/salted-caramel-peanut-butter-mousse-mini-chocolate-cookie-cup/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Old Fashioned Monster Cookies,Amanda Rettke,5,NA,Prep Time 10 minutes mins,Cook Time 12 minutes mins,NA,Total Time 22 minutes mins,NA,14," 1½ cups all-purpose flour
"," 1 cup peanut butter chips
"," 1 cup M&M's
"," 1½ cups whole oats
"," ¾ cup granulated sugar
"," ¾ cup brown sugar
"," ¾ cup shortening
"," 1 teaspoon McCormick® vanilla
"," 2 large eggs
",i am baker,https://iambaker.net/old-fashioned-monster-cookies/," 1 teaspoon McCormick® cinnamon
"," 1 teaspoon salt
"," 1 teaspoon baking powder
"," 1 teaspoon baking soda
", ½ cup semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butterscotch Peanut Butter Snickerdoodles,Amanda Rettke,NA,NA,Prep Time 20 minutes mins,Cook Time 8 minutes mins,NA,Total Time 28 minutes mins,NA,14,"Cookie Dough
"," 1 cup (2 sticks / 227 g) unsalted butter, softened but not melted
"," 1 ½ cups (300 g) granulated sugar
"," 2 large eggs, room temperature
"," 1 tablespoon vanilla extract
"," 2 ¾ cups (352 g) all-purpose flour
"," 1 teaspoon cream of tartar
"," 1 teaspoon baking soda
"," ¼ teaspoon kosher salt
",i am baker,https://iambaker.net/peanut-butter-butterscotch-snickerdoodles/," ⅓ cup peanut butter chips
", ⅓ cup butterscotch chips," Cinnamon Sugar Topping
"," 3 tablespoons granulated sugar
", 3 teaspoons ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
christmas tree cookie stacks,Amanda Rettke,NA,NA,Prep Time 20 minutes mins,Cook Time 30 minutes mins,NA,Total Time 50 minutes mins,NA,6," 1 pouch Betty Crocker™ chocolate chip cookie mix
"," 1/2 c butter softened
"," 1 egg
"," 1 1/2 c Betty Crocker™ Rich & Creamy vanilla frosting (from 1-lb
"," container)
", Candy sprinkles if desired,NA,NA,NA,i am baker,https://iambaker.net/christmas-tree-cookie-stacks/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Caramel Ginger Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 10 minutes mins,NA,Total Time 20 minutes mins,NA,9," 12 ounces mini bittersweet chocolate chips
"," 1/4 cup unsalted butter cut into chunks
"," 3 large eggs at room temperature
"," 1 cup sugar
"," 3/4 cup flour
"," 1 teaspoon baking powder
"," 1/4 teaspoon salt
"," Ginger Caramels cut into 1 inch squares
", 1 teaspoon crystallized ginger,i am baker,https://iambaker.net/chocolate-caramel-ginger-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Creamy Cookie Dough Frosting,Amanda Rettke,4.78,9,Prep Time 15 minutes mins,NA,NA,Total Time 15 minutes mins,NA,7," 1 ½ cup packed light brown sugar
"," 1 cups (2 sticks or 226 g) butter, at room temperature
"," 1 ½ cups all-purpose flour*
"," 2 teaspoons McCormick vanilla extract
"," ½ teaspoon table salt
"," 1 cup whole milk
", 1 cup semi-sweet miniature chocolate chips,NA,NA,i am baker,https://iambaker.net/cookie-dough-frosting/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 3 minutes mins,NA,Total Time 13 minutes mins,NA,8," 1 1/2 cups confectioners sugar
"," 1 cup (2 sticks or 226g) butter, softened
"," 1 teaspoon vanilla extract
"," 1/2 teaspoon almond extract
"," 1 egg, room temperature
"," 2 1/2 cups Wondra Quick-Mixing Flour
"," 1 teaspoon baking soda
", 1 teaspoon cream of tartar,NA,i am baker,https://iambaker.net/christmas-cookie-sandwiches/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Rose Cookies,Amanda Rettke,5,2,Prep Time 10 minutes mins,Cook Time 14 minutes mins,NA,Total Time 24 minutes mins,NA,9,"Pumpkin Cookies
"," 1 box (15.25 ounces) spice cake mix
", 1 can (15 ounces) pumpkin puree," Caramel Cream Cheese Frosting
"," 8 ounces cream cheese, room temperature
"," 4 tablespoons butter, room temperature
"," ½ cup caramel sauce
"," 1 teaspoon vanilla extract
", 3 cups confectioners' sugar,i am baker,https://iambaker.net/pumpkin-rose-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Giant Sugar Cookies with Pink Buttercream,Amanda Rettke,5,4,Prep Time 5 minutes mins,Cook Time 16 minutes mins,NA,Total Time 21 minutes mins,NA,14,"Cookies
"," 1 1/2 c butter or 3 sticks I use unsalted
"," 2 c granulated sugar
"," 3 eggs
"," 4 tsp. vanilla extract
"," 2 tsp. almond extract
"," 4 c all-purpose flour
"," 1 tsp. salt
", 1 tsp. baking powder,i am baker,https://iambaker.net/giant-sugar-cookies-with-pink-cherry-buttercream/," Cherry Buttercream
"," 3 c powdered sugar confectioners sugar
"," 1/2 c 1 stick butter
"," 1/2 tsp. almond extract
", 1/4 c maraschino cherry juice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Zucchini Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 15 minutes mins,NA,Total Time 25 minutes mins,NA,12," 1 medium (1 cup) zucchini, grated and drained
"," ⅔ cup semi-sweet chocolate chips, or bittersweet
"," 2 cups all-purpose flour
"," ¼ cup (29.5g) cocoa
"," 1 teaspoon baking soda
"," ½ teaspoon salt fine table salt
"," ½ cup (1 stick or 113g) butter room temperature
"," ½ cup (100g) brown sugar
"," ¼ cup (50g) granulated sugar
",i am baker,https://iambaker.net/chocolate-zucchini-cookies/," 1 large egg, room temperature
"," 1 teaspoon vanilla
", 1 cup milk chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marry Me Cookies,Amanda Rettke,4.93,65,Prep Time 10 minutes mins,Cook Time 13 minutes mins,Chilling Time 10 minutes mins,Total Time 33 minutes mins,NA,12," 1 cup (2 sticks / 227 g) unsalted butter
"," 1 ¼ cups (250 g) light brown sugar
"," ½ cup (100 g) granulated sugar
"," 2 large eggs, room temperature
"," 1 teaspoon pure vanilla extract
"," 2 cups (256 g) all-purpose flour
"," 1 cup (90 g) old-fashioned oats
"," ½ teaspoon baking soda
"," 1 teaspoon kosher salt
",i am baker,https://iambaker.net/marry-me-cookies/," ¼ teaspoon ground cinnamon
"," 1 cup (168 g) white chocolate chips*
", 1 cup (168 g) semi-sweet chocolate chips*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
classic chocolate chip and peanut butter chip cookies,Amanda Rettke,4.34,3,Prep Time 10 minutes mins,Cook Time 10 minutes mins,NA,Total Time 20 minutes mins,NA,11," 2 1/2 c all-purpose flour
"," 1 c semi-sweet chocolate chips
"," 1 tsp. vanilla extract
"," 2 large eggs
"," 3/4 c firmly packed brown sugar
"," 3/4 c granulated white sugar
"," 1 c 2 sticks butter, softened
"," pinch of salt
"," 1 tsp. baking powder
",i am baker,https://iambaker.net/classic-chocolate-chip-and-peanut-butter-chip-cookies/," 1 tsp. baking soda
", 1 c peanut butter chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chocolate Chip Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 20 minutes mins,NA,Total Time 30 minutes mins,NA,15," 1 c 6 ounces good quality semi-sweet chocolate, chopped finely
"," 2 c semi-sweet chocolate chopped (chips are fine)
"," 2 tsp. vanilla extract
"," 2 large eggs room temperature
"," sugar
"," 1 heaping cup 8 ounces granulated
"," 1 1/4 c 10 ounces light brown sugar
"," 2 1/2 sticks 1 1/4 cups unsalted butter
"," 1 1/2 tsp. coarse salt
",i am baker,https://iambaker.net/best-ever-chocolate-chocolate-chip-cookies/," 1 1/2 tsp. baking powder
"," 1 1/4 tsp. baking soda
"," 1 2/3 c 8 1/2 ounces bread flour
"," 2 c cake flour
"," 2 tbsp. butter
", 1 c white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Rose Cookies,Amanda Rettke,3.34,3,Prep Time 10 minutes mins,Cook Time 8 minutes mins,NA,Total Time 18 minutes mins,NA,9," 2/3 c shortening
"," 1 3/4 c white sugar
"," 2 eggs
"," 1 tsp. vanilla
"," 1/4 c buttermilk
"," 1 tsp. red gel food coloring
"," 2 c AP flour
"," 1/2 c unsweetened cocoa powder
", 1/2 tsp. salt,i am baker,https://iambaker.net/red-velvet-rose-sandwich-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Peanut Butter Blossoms,Amanda Rettke,4.81,31,Prep Time 10 minutes mins,Cook Time 8 minutes mins,NA,Total Time 18 minutes mins,NA,13," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," ¾ cup (193.5 g) creamy peanut butter
"," 1 ⅓ cups (267 g) granulated sugar
"," 1 large egg, room temperature
"," 2 tablespoons milk
"," 2 teaspoons vanilla
"," 1 teaspoon red gel food coloring
"," 3 tablespoons unsweetened cocoa
"," 1 ½ cups (187.5 g) all-purpose flour
",i am baker,https://iambaker.net/red-velvet-peanut-butter-blossoms/," 1 teaspoon baking soda
"," 1 pinch kosher salt
"," ⅓ cup (67 g) red sanding sugar
"," 1 bag Hershey's Kisses, unwrapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter Cream Cheese Frosting,Amanda Rettke,NA,NA,Prep Time 25 minutes mins,NA,NA,Total Time 25 minutes mins,NA,4," 1/2 c 1 stick unsalted butter
"," 8 oz cream cheese 1 package at room temperature
"," 3 c confectioners' sugar
", 1 tsp. vanilla extract use a good quality,NA,NA,NA,NA,NA,i am baker,https://iambaker.net/red-velvet-cookie-sandwichs-with-brown-butter-cream-cheese-frosting/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
