title,author,genre,rating,ratingnum,preptime,cooktime,totaltime,additionaltime,cooltime,chilltime,baketime,standtime,servings,yield,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,additionaltime...47,preptime...48,source,link
Cookies 'n' Creme Fudge,Allrecipes Member,NA,4.5,358,5 mins,10 mins,2 hrs 15 mins,2 hrs,NA,NA,NA,NA,40 ,2 1/2 pounds,4,3 (6 ounce) packages white chocolate baking squares,1 (14 ounce) can EAGLE BRAND® Sweetened Condensed Milk,⅛ teaspoon salt,3 cups coarsely crushed chocolate creme-filled sandwich cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/77307/cookies-n-creme-fudge/
Easy Monster Cookies,Rene Kratz,Drop Cookie Recipes,4.4,97,20 mins,15 mins,35 mins,NA,NA,NA,NA,NA,84 ,7 dozen,9,2 ⅔ cups peanut butter,"1 cup butter, softened",2 ⅓ cups packed brown sugar,2 cups white sugar,6 large eggs,1 ½ teaspoons vanilla extract,9 cups rolled oats,4 teaspoons baking soda,2 cups semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/9802/monster-cookies-i/
Chocolate Chip Cookies for Special Diets,Bernie,Chocolate Chip Cookie Recipes,4.3,107,15 mins,10 mins,25 mins,NA,NA,NA,NA,NA,48 ,4 dozen cookies,10,"½ cup butter, softened",¾ cup granulated artificial sweetener,2 tablespoons water,½ teaspoon vanilla extract,"1  egg, beaten",1 ⅛ cups all-purpose flour,½ teaspoon baking soda,½ teaspoon salt,½ cup semisweet chocolate chips,½ cup chopped pecans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/11594/chocolate-chip-cookies-for-special-diets/
Chocolate Mint Candies Cookies,Jackie Schmidt,Drop Cookie Recipes,4.8,855,20 mins,10 mins,1 hr 20 mins,50 mins,NA,NA,NA,NA,40 ,3 to 4 dozen,9,¾ cup butter,1 ½ cups brown sugar,2 tablespoons water,2 cups semisweet chocolate chips,2  eggs,2 ½ cups all-purpose flour,1 ¼ teaspoons baking soda,½ teaspoon salt,3 (4.5 ounce) packages chocolate covered thin mints,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/16212/chocolate-mint-candies-cookies/
Powdered Sugar Cookies I,Alicia K Chaput,Sugar Cookie Recipes,4.5,142,NA,NA,NA,NA,NA,NA,NA,NA,48 ,8 dozen,10,1 cup confectioners' sugar,1 cup white sugar,1 cup butter,1 cup vegetable oil,1 pinch salt,2  eggs,1 teaspoon baking soda,1 teaspoon cream of tartar,1 teaspoon vanilla extract,4 cups all-purpose flour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10364/powdered-sugar-cookies-i/
Super Easy Peanut Butter Cookies,Kraft Peanut Butter,NA,4.5,118,5 mins,20 mins,30 mins,5 mins,NA,NA,NA,NA,24 ,24 cookies,3,1 cup KRAFT Smooth Peanut Butter,½ cup white sugar,1 large egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/246889/super-easy-peanut-butter-cookies/
Sour Cream Sugar Cookies I,Janel Deppe,Sugar Cookie Recipes,4.1,101,NA,NA,NA,NA,NA,NA,NA,NA,30 ,5 dozen,14,1 ½ cups white sugar,1 cup butter,1 teaspoon vanilla extract,2  eggs,1 cup sour cream,5 cups all-purpose flour,½ teaspoon salt,1 teaspoon baking powder,1 teaspoon baking soda,1 (8 ounce) package cream cheese,2 tablespoons evaporated milk,1 teaspoon vanilla extract,⅛ teaspoon salt,4 cups confectioners' sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10360/sour-cream-sugar-cookies-i/
Pumpkin Oatmeal Chocolate Chip Cookies,Ken Sherer,Pumpkin Cookie Recipes,4.7,205,15 mins,10 mins,25 mins,NA,NA,NA,NA,NA,72 ,6 dozen cookies,13,2 cups packed brown sugar,"1 ½ cups unsalted butter, softened",1 cup white sugar,1 (15 ounce) can pumpkin puree,1  egg,1 teaspoon vanilla extract,4 cups all-purpose flour,2 cups quick-cooking oats,2 teaspoons ground cinnamon,2 teaspoons baking soda,1 teaspoon baking powder,1 teaspoon salt,2 cups miniature chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/228740/pumpkin-oatmeal-chocolate-chip-cookies/
Banana Breakfast Cookies,Anne,NA,4.3,100,10 mins,20 mins,45 mins,15 mins,NA,NA,NA,NA,12 ,12 cookies,5,3  very ripe bananas,2 cups rolled oats,1 cup raisins,⅓ cup plain yogurt,1 teaspoon ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/275809/banana-breakfast-cookies/
White Chocolate Orange Cookies,Jennifer,Drop Cookie Recipes,4.6,249,15 mins,10 mins,25 mins,NA,NA,NA,NA,NA,36 ,3 dozen cookies,10,"1 cup butter, softened",½ cup white sugar,½ cup packed brown sugar,1 large egg,1 tablespoon orange zest,2 ¼ cups all-purpose flour,¾ teaspoon baking soda,½ teaspoon salt,2 cups white chocolate chips,1 cup chopped walnuts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/11278/white-chocolate-orange-cookies/
Banana Oatmeal Cookies,Jenny,Banana Dessert Recipes,4.1,228,5 mins,10 mins,15 mins,NA,NA,NA,NA,NA,48 ,4 dozen,11,1 cup margarine,1 cup white sugar,2 large eggs,1 teaspoon vanilla extract,2 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon ground cloves,1 teaspoon ground cinnamon,"3 medium ripe bananas, mashed",2 cups rolled oats,1 cup semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/15002/banana-oatmeal-cookies-i/
Mrs. Fields Sugar Cookies,Ashley,Sugar Cookie Recipes,4.1,284,NA,NA,NA,NA,NA,NA,NA,NA,18 ,3 dozen,7,2 cups all-purpose flour,¼ teaspoon salt,¾ cup white sugar,1  egg,1 teaspoon vanilla extract,¼ cup colored sugar for decoration,¾ cup butter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10407/mrs-fields-sugar-cookies/
Eggless Chocolate Peanut Butter Cookies,Sclark,NA,4.4,112,20 mins,11 mins,31 mins,NA,NA,NA,NA,NA,24 ,24 cookies,11,2 cups flour,1 teaspoon baking soda,1 teaspoon baking powder,¼ teaspoon salt,"¾ cup butter, softened",1 cup sugar,2 tablespoons brown sugar,½ teaspoon vanilla extract,¼ cup cocoa powder,⅓ cup peanut butter,½ cup milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/142964/eggless-chocolate-peanut-butter-cookies/
Chewy Maple Cookies,Debbie Rowe,Drop Cookie Recipes,4.4,116,15 mins,15 mins,30 mins,NA,NA,NA,NA,NA,18 ,3 dozen,9,1 cup packed brown sugar,½ cup shortening,½ cup real maple syrup,1  egg,½ teaspoon vanilla extract,1 ½ cups all-purpose flour,2 teaspoons baking powder,½ teaspoon salt,1 cup flaked coconut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/11030/chewy-maple-cookies/
No Bake Fudge Cookies,jamie,No-Bake Cookie Recipes,4.7,99,15 mins,1 mins,16 mins,NA,NA,NA,NA,NA,18 ,3 dozen,8,2 cups white sugar,½ cup milk,½ cup butter,¾ cup peanut butter,3 cups quick cooking oats,6 tablespoons unsweetened cocoa powder,1 teaspoon vanilla extract,½ cup raisins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/11029/no-bake-fudge-cookies/
Banana Oatmeal Cookies III,MAMA_5_98,Banana Dessert Recipes,4.4,169,15 mins,15 mins,45 mins,15 mins,NA,NA,NA,NA,36 ,3 1/2 dozen,11,1 ½ cups all-purpose flour,1 cup white sugar,½ teaspoon baking soda,1 teaspoon salt,¼ teaspoon ground nutmeg,¾ teaspoon ground cinnamon,¾ cup shortening,"1  egg, beaten",1 cup mashed ripe bananas,1 ¾ cups rolled oats,½ cup chopped walnuts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/25020/banana-oatmeal-cookies-iii/
Brownie cookies,Cheryl,Chocolate Brownie Recipes,4,142,NA,NA,NA,NA,NA,NA,NA,NA,12 ,2 dozen,9,¾ cup vegetable oil,2 cups white sugar,⅔ cup cocoa powder,2 cups all-purpose flour,2 teaspoons baking powder,4  eggs,2 teaspoons vanilla extract,½ cup chopped walnuts (Optional),¼ cup confectioners' sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/11429/brownie-cookies/
Chewy Peanut Butter Chocolate Chip Cookies,Kathy Bliesner,Peanut Butter Cookie Recipes,4.4,1927,15 mins,15 mins,35 mins,5 mins,NA,NA,NA,NA,24 ,24 cookies,12,1 cup packed brown sugar,½ cup white sugar,"½ cup butter, softened",½ cup peanut butter,2  eggs,2 tablespoons light corn syrup,2 tablespoons water,2 teaspoons vanilla extract,2 ½ cups all-purpose flour,1 teaspoon baking soda,½ teaspoon salt,2 cups chopped semisweet chocolate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/9996/chewy-peanut-butter-chocolate-chip-cookies/
The Whole Jar of Peanut Butter Cookies,Kevin Ryan,Peanut Butter Cookie Recipes,4.7,886,NA,NA,NA,NA,NA,NA,NA,NA,30 ,5 dozen,11,"1 cup butter, softened",1 cup white sugar,1 cup packed brown sugar,2  eggs,1  egg yolk,2 teaspoons vanilla extract,1 (18 ounce) jar peanut butter,2 cups all-purpose flour,1 teaspoon baking soda,½ teaspoon salt,1 cup chopped peanuts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/11520/the-whole-jar-of-peanut-butter-cookies/
Absolutely Sinful Chocolate Chocolate Chip Cookies,Emeila,Drop Cookie Recipes,4.2,290,15 mins,12 mins,40 mins,13 mins,NA,NA,NA,NA,24 ,2 dozen,11,2 ½ (1 ounce) squares unsweetened chocolate,½ cup butter,2 cups all-purpose flour,½ teaspoon baking soda,1 teaspoon baking powder,¼ teaspoon salt,1 ¼ cups white sugar,2  eggs,1 teaspoon vanilla extract,⅔ cup sour cream,2 cups semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/19278/absolutely-sinful-chocolate-chocolate-chip-cookies/
Easy Peanut Butter Chocolate Chip Cookies,Barb Gurley,Peanut Butter Cookie Recipes,4.2,209,20 mins,5 mins,30 mins,5 mins,NA,NA,NA,NA,36 ,3 dozen,10,"½ cup unsalted butter, softened",6 tablespoons brown sugar,6 tablespoons white sugar,1 large egg,1 teaspoon vanilla extract,1 cup natural peanut butter,½ teaspoon baking soda,½ teaspoon kosher salt,¾ cup all-purpose flour,¾ cup mini semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10675/peanut-butter-chocolate-chip-cookies-ii/
Aunt Anne's Sesame Cookies,DianeF,Italy,4.8,157,15 mins,20 mins,35 mins,NA,NA,NA,NA,NA,60 ,5 dozen cookies,9,1 cup unsalted butter,¾ cup white sugar,"1  egg, room temperature",2 teaspoons anise extract,2 ½ cups all-purpose flour,¼ teaspoon baking powder,⅛ teaspoon salt,"½ cup milk, or as needed",1 cup sesame seeds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/57184/aunt-annes-sesame-cookies/
Easy Chocolate Chip Cookies,Sherri,Chocolate Chip Cookie Recipes,4.4,310,10 mins,11 mins,30 mins,9 mins,NA,NA,NA,NA,48 ,4 dozen,5,1 (18.25 ounce) package yellow cake mix,"½ cup butter, softened",2  eggs,1 teaspoon vanilla extract,2 cups semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/24423/easy-chocolate-chip-cookies/
Key Lime Cookies I,Pam,NA,4,125,20 mins,10 mins,50 mins,20 mins,NA,NA,NA,NA,36 ,3 dozen,10,½ cup butter,1 cup white sugar,1  egg,1  egg yolk,1 ½ cups all-purpose flour,1 teaspoon baking powder,½ teaspoon salt,¼ cup fresh lime juice,1 ½ teaspoons grated lime zest,½ cup confectioners' sugar for decoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10187/key-lime-cookies-i/
Dad's Favorite Peanut Butter Cookies,Kendra Amaro,Peanut Butter Cookie Recipes,4.4,184,15 mins,10 mins,1 hr 25 mins,1 hr,NA,NA,NA,NA,36 ,3 dozen,9,½ cup shortening,½ cup crunchy peanut butter,½ cup white sugar,½ cup packed brown sugar,1 large egg,"1 ¼ cups all-purpose flour, plus more as needed",¾ teaspoon baking soda,½ teaspoon baking powder,¼ teaspoon salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10373/dads-favorite-peanut-butter-cookies/
Low-Carb Almond Cinnamon Butter Cookies,Fioa,Almond Dessert Recipes,4.4,102,10 mins,15 mins,25 mins,NA,NA,NA,NA,NA,12 ,12 cookies,6,2 cups blanched almond flour,"½ cup unsalted butter, softened",½ cup low-calorie natural sweetener (such as Swerve®),1 large egg,1 teaspoon sugar-free vanilla extract,1 teaspoon ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/261182/low-carb-almond-cinnamon-butter-cookies/
Candy Cane Cookies III,Ruthann,NA,4,149,25 mins,9 mins,45 mins,11 mins,NA,NA,NA,NA,48 ,4 dozen,11,1 cup margarine,½ cup white sugar,½ cup confectioners' sugar,1  egg,1 teaspoon vanilla extract,½ teaspoon peppermint extract,2 ½ cups all-purpose flour,½ teaspoon salt,½ teaspoon red food coloring,"½ cup peppermint candy canes, crushed",½ cup white sugar for decoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/24443/candy-cane-cookies-iii/
Light Chocolate Chip Cookies,Megan Noble,Drop Cookie Recipes,4.2,215,15 mins,10 mins,35 mins,10 mins,NA,NA,NA,NA,24 ,24 cookies,10,¾ cup packed brown sugar,¼ cup white sugar,6 tablespoons butter,½ teaspoon vanilla extract,1  egg white,3 tablespoons water,1 ½ cups all-purpose flour,¾ teaspoon baking soda,¼ teaspoon salt,½ cup semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/15335/light-chocolate-chip-cookies/
"Felix K.'s 'Don't even try to say these aren't the best you've ever eaten, because they are' Chocolate Chip Cookies",Professor Felix,Chocolate Chip Cookie Recipes,4.3,681,15 mins,15 mins,50 mins,20 mins,NA,NA,NA,NA,24 ,24 cookies,10,3 ½ cups all-purpose flour,1 teaspoon baking powder,1 teaspoon baking soda,1 teaspoon salt,"1 cup butter, softened",2 cups brown sugar,6 tablespoons white sugar,2  eggs,4 teaspoons vanilla extract,1 (12 ounce) bag chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/178151/felix-ks-dont-even-try-to-say-these-arent-the-best-youve-ever-eaten-because-they-are-chocolate-chip-cookies/
WWII Oatmeal Molasses Cookies,Diana S,Oatmeal Raisin Cookie Recipes,4.6,278,20 mins,10 mins,45 mins,15 mins,NA,NA,NA,NA,48 ,4 dozen,12,2 cups all-purpose flour,2 cups oatmeal,1 teaspoon baking soda,1 teaspoon baking powder,1 teaspoon salt,1 cup sugar,¾ cup shortening,5 tablespoons light molasses,"2 eggs, beaten",2 teaspoons vanilla extract,½ cup chopped walnuts (Optional),½ cup raisins (Optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/82137/wwii-oatmeal-molasses-cookies/
Chocolate Mint Cookies I,Susan Black,Chocolate Cookie Recipes,4.8,1028,NA,NA,NA,NA,NA,NA,NA,NA,18 ,3 dozen,9,¾ cup butter,1 ½ cups packed brown sugar,2 tablespoons water,2 cups semisweet chocolate chips,2  eggs,2 ½ cups all-purpose flour,1 ¼ teaspoons baking soda,½ teaspoon salt,36  chocolate mint wafer candies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10477/chocolate-mint-cookies-i/
Michelle's Soft Sugar Cookies,MISSMR94,Sugar Cookie Recipes,4.3,457,10 mins,10 mins,8 hrs 20 mins,8 hrs,NA,NA,NA,NA,60 ,3 to 5 dozen cookies,8,1 ½ cups white sugar,1 cup margarine,3  eggs,1 teaspoon vanilla extract,3 ½ cups all-purpose flour,2 teaspoons cream of tartar,1 teaspoon baking soda,½ teaspoon salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/11267/michelles-soft-sugar-cookies/
Habanero Cookies,Allrecipes Member,Drop Cookie Recipes,4.5,93,25 mins,10 mins,45 mins,10 mins,NA,NA,NA,NA,24 ,2 dozen cookies,8,"10  habanero peppers, seeded and minced",1 ½ cups white sugar,1 cup softened butter,1 teaspoon vanilla extract,2  eggs,2 ¾ cups all-purpose flour,1 teaspoon baking soda,1 teaspoon salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/65937/habanero-cookies/
Chewy Peanut Butter Cookies,Sandi,Peanut Butter Cookie Recipes,4.3,239,NA,NA,NA,NA,NA,NA,NA,NA,18 ,3 dozen,8,1 cup packed brown sugar,1 cup white sugar,1 cup peanut butter,1 cup shortening,1 teaspoon baking soda,2 tablespoons hot water,2 ½ cups all-purpose flour,2  eggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10945/chewy-peanut-butter-cookies/
Lemon Cookies from Scratch,mushdg02,Lemon Dessert Recipes,4.4,98,15 mins,15 mins,1 hr,30 mins,NA,NA,NA,NA,20 ,20 cookies,10,1 cup white sugar,"½ cup butter, softened",2 tablespoons fresh lemon zest,2 large eggs,1 tablespoon fresh lemon juice,½ teaspoon vanilla extract,1 ¾ cups all-purpose flour,1 ½ teaspoons baking powder,¼ teaspoon salt,¼ cup confectioners' sugar for rolling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/276680/lemon-cookies-from-scratch/
German Honey Cookies,Darlene,German,4.5,172,15 mins,15 mins,30 mins,NA,NA,NA,NA,NA,24 ,4 dozen cookies,8,1 cup white sugar,1 cup butter or shortening,1 cup honey,2 large eggs,1 teaspoon vanilla extract,1 teaspoon baking soda,1 teaspoon ground ginger,4 cups all-purpose flour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10352/old-german-honey-cookies/
Chocolate Zucchini Cookies,Mary Ann,Squash,4.3,153,15 mins,10 mins,25 mins,NA,NA,NA,NA,NA,48 ,4 dozen cookies,10,½ cup butter-flavored shortening,½ cup white sugar,½ cup brown sugar,1 large egg,1 teaspoon vanilla extract,2 ¼ cups all-purpose flour,⅓ cup unsweetened cocoa powder,1 teaspoon baking soda,½ teaspoon salt,1 ¾ cups grated zucchini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/25807/chocolate-zucchini-cookies/
Snowball Cookies,Earla Taylor,NA,4.6,95,15 mins,25 mins,55 mins,15 mins,NA,NA,NA,NA,24 ,4 dozen,7,1 cup butter,½ cup white sugar,1 tablespoon vanilla extract,2 cups sifted all-purpose flour,¾ teaspoon salt,1 cup chopped pecans,¾ cup sifted confectioners' sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/9536/snowballs/
Sugared Black Raspberry Tea Cookies,Jennifer,American Cookie Recipes,4.5,85,30 mins,15 mins,45 mins,NA,NA,NA,NA,NA,36 ,3 dozen,10,½ cup butter,¼ cup packed brown sugar,⅓ cup white sugar,1 teaspoon vanilla extract,3 tablespoons milk,1 ⅓ cups all-purpose flour,¼ cup cornstarch,¼ cup miniature semisweet chocolate chips,3 tablespoons white sugar,1 (10 ounce) jar black raspberry jam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/11379/sugared-black-raspberry-tea-cookies/
Peanut Butter Oatmeal Cookies,S Hynek,Peanut Butter Cookie Recipes,4.4,257,NA,NA,NA,NA,NA,NA,NA,NA,72 ,6 dozen,9,1 ½ cups shortening,1 ½ cups peanut butter,2 cups packed brown sugar,3  eggs,2 teaspoons vanilla extract,3 cups quick-cooking oats,2 cups whole wheat flour,2 teaspoons baking soda,1 teaspoon salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/9980/peanut-butter-oatmeal-cookies/
Soft and Chewy Peanut Butter Cookies,Sarah,Peanut Butter Cookie Recipes,4.1,510,NA,NA,NA,NA,NA,NA,NA,NA,18 ,3 dozen,9,2 cups all-purpose flour,½ teaspoon baking soda,¼ teaspoon salt,1 ¼ cups packed brown sugar,1 ¼ cups white sugar,"1 cup butter, softened",3  eggs,1 cup creamy peanut butter,2 teaspoons vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10716/soft-and-chewy-peanut-butter-cookies/
Cracked Sugar Cookies II,Lesa Caruso,Sugar Cookie Recipes,4.6,85,1 day 1 hr 15 mins,8 mins,1 day 1 hr 23 mins,NA,NA,NA,NA,NA,66 ,5 1/2 dozen,8,1 cup shortening,1 ½ cups white sugar,2  eggs,2 teaspoons vanilla extract,2 ½ cups all-purpose flour,2 teaspoons baking powder,½ teaspoon salt,¼ cup white sugar for decoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/26129/cracked-sugar-cookies-ii/
Old-Fashioned Persimmon Cookies,Ruth,NA,4.7,91,15 mins,15 mins,30 mins,NA,NA,NA,NA,NA,48 ,48 cookies,14,½ cup shortening,1 cup white sugar,1  egg,½ teaspoon vanilla extract,2 cups all-purpose flour,½ teaspoon baking soda,½ teaspoon baking powder,"½ teaspoon salt, divided",½ teaspoon ground cloves,½ teaspoon ground cinnamon,½ teaspoon ground nutmeg,1 cup raisins,1 cup chopped walnuts,1 cup persimmon pulp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/9518/persimmon-cookies/
Sugar Cookies IX,Robin,Sugar Cookie Recipes,4.3,92,NA,NA,NA,NA,NA,NA,NA,NA,18 ,3 1/2 dozen,9,1 cup butter,1 cup packed brown sugar,1 cup white sugar,2  eggs,2 tablespoons vanilla extract,3 cups all-purpose flour,½ teaspoon salt,½ teaspoon baking soda,½ teaspoon baking powder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`
additionaltime`",`preptime`,Allrecipes,https://www.allrecipes.com/recipe/10746/sugar-cookies-ix/
